상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA0101202406A0146826,지에스25사상동궁점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,26,부산광역시,26530,사상구,26530680,엄궁동,2653010800,엄궁동,2653010800101990011,1,대지,199.0,11.0,부산광역시 사상구 엄궁동 199-11,265303139015,부산광역시 사상구 엄궁로,71,,2653010800101990011023244,,부산광역시 사상구 엄궁로 71,617830,47044,,1,,128.973283541063,35.1232680665339
MA0101202406A0420191,세븐일레븐부산당감삼익점,,G2,소매,G204,종합 소매,G20405,편의점,G46103,섬유; 의복; 신발 및 가죽제품 중개업,26,부산광역시,26230,부산진구,26230670,당감1동,2623010900,당감동,2623010900102520150,1,대지,252.0,150.0,부산광역시 부산진구 당감동 252-150,262303129006,부산광역시 부산진구 당감로,18,1.0,2623010900102520023024449,,부산광역시 부산진구 당감로 18-1,614817,47181,,,,129.039832196615,35.1633763540851
MA0101202409A0049916,지에스25개금월드점,,G2,소매,G204,종합 소매,G20405,편의점,G47190,그 외 기타 종합 소매업,26,부산광역시,26230,부산진구,26230760,개금3동,2623011100,개금동,2623011100100010029,1,대지,1.0,29.0,부산광역시 부산진구 개금동 1-29,262304187285,부산광역시 부산진구 백양대로208번길,137,,2623011100100010014019870,,부산광역시 부산진구 백양대로208번길 137,614809,47166,,1,,129.023247859649,35.1623749136331
MA0101202409A0213375,씨유장림,센트럴점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,26,부산광역시,26380,사하구,26380580,장림1동,2638010500,장림동,2638010500110330020,1,대지,1033.0,20.0,부산광역시 사하구 장림동 1033-20,263804202536,부산광역시 사하구 하신중앙로54번길,46,,2638010500110330020014263,,부산광역시 사하구 하신중앙로54번길 46,604843,49473,,1,,128.969791842174,35.084384629777
MA0101202409A0012623,씨유연제,법조타운점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,26,부산광역시,26470,연제구,26470610,거제1동,2647010100,거제동,2647010100114970002,1,대지,1497.0,2.0,부산광역시 연제구 거제동 1497-2,264704211188,부산광역시 연제구 법원로16번길,10,,2647010100114970002014881,금복빌딩,부산광역시 연제구 법원로16번길 10,611803,47511,,1,,129.073424799768,35.1902370648744
MA0101202409A0000761,씨유영산대점,해운대,G2,소매,G204,종합 소매,G20405,편의점,G47129,기타 음ㆍ식료품 위주 종합 소매업,26,부산광역시,26350,해운대구,26350610,반송1동,2635010100,반송동,2635010100102500658,1,대지,250.0,658.0,부산광역시 해운대구 반송동 250-658,263504199115,부산광역시 해운대구 아랫반송로59번길,53,,2635010100102500657000423,,부산광역시 해운대구 아랫반송로59번길 53,612802,48019,,1,,129.152275951386,35.2235636417496
MA0101202409A0209738,씨유지사과학,산단점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,26,부산광역시,26440,강서구,26440560,녹산동,2644011400,지사동,2644011400111760006,1,대지,1176.0,6.0,부산광역시 강서구 지사동 1176-6,264404208116,부산광역시 강서구 과학산단2로3번길,56,,2644011400111290000000001,,부산광역시 강서구 과학산단2로3번길 56,618210,46742,,,,128.824474946916,35.1495182540041
MA0101202409A0198716,지에스25구평등대점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,26,부산광역시,26380,사하구,26380610,구평동,2638010700,구평동,2638010700104940011,1,대지,494.0,11.0,부산광역시 사하구 구평동 494-11,263803134003,부산광역시 사하구 감천항로,527,,2638010700104940011000001,,부산광역시 사하구 감천항로 527,604866,49455,,,,128.999887720664,35.0480607074578
MA0101202409A0246752,지에스25,반송점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,26,부산광역시,26350,해운대구,26350610,반송1동,2635010100,반송동,2635010100102570337,1,대지,257.0,337.0,부산광역시 해운대구 반송동 257-337,263504199104,부산광역시 해운대구 아랫반송로21번길,2,,2635010100102570337019138,,부산광역시 해운대구 아랫반송로21번길 2,612804,48017,,,,129.148577848018,35.2253325111434
MA0101202409A0114966,지에스25만덕한신점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,26,부산광역시,26320,북구,26320572,만덕2동,2632010300,만덕동,2632010300109430002,1,대지,943.0,2.0,부산광역시 북구 만덕동 943-2,263204196382,부산광역시 북구 함박봉로140번길,8,,2632010300109430002004268,,부산광역시 북구 함박봉로140번길 8,616842,46617,,,,129.032762569143,35.204696445193
MA0101202409A0137598,씨유영도,중앙점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,26,부산광역시,26200,영도구,26200530,남항동,2620010200,대교동2가,2620010200100940000,1,대지,94.0,,부산광역시 영도구 대교동2가 94,262003006003,부산광역시 영도구 태종로,97,,2620010200100940000000001,영도빌딩,부산광역시 영도구 태종로 97,606012,49036,,1,,129.041476936665,35.0917056544256
MA0101202409A0200524,에스아이글로벌,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,26,부산광역시,26290,남구,26290610,용당동,2629010800,용당동,2629010800101720004,1,대지,172.0,4.0,부산광역시 남구 용당동 172-4,262903131019,부산광역시 남구 신선로,309,,2629010800101720004012917,,부산광역시 남구 신선로 309,608829,48548,,2,,129.095488040835,35.1136193571165
MA0101202406A0210406,세븐일레븐부산문현대도점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,26,부산광역시,26290,남구,26290700,문현3동,2629010900,문현동,2629010900102380233,1,대지,238.0,233.0,부산광역시 남구 문현동 238-233,262904193159,부산광역시 남구 수영로39번가길,83,,2629010900102380233014501,대도라이프타운,부산광역시 남구 수영로39번가길 83,608823,48420,,1,,129.075808269511,35.1384877582519
