상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA0101202406A0040495,정PT,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26260,동래구,26260600,사직3동,2626010900,사직동,2626010900101070004,1,대지,107,4,부산광역시 동래구 사직동 107-4,262604190306,부산광역시 동래구 아시아드대로146번길,4,,2626010900101070004008535,,부산광역시 동래구 아시아드대로146번길 4,607821,47842,,B1,,129.065966711765,35.1974296412164
MA0101202406A0265701,젠틀짐,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26440,강서구,26440535,명지1동,2644010400,명지동,2644010400133630001,1,대지,3363,1,부산광역시 강서구 명지동 3363-1,264403350872,부산광역시 강서구 명지국제11로,54,,2644010400133630001000001,성민빌딩,부산광역시 강서구 명지국제11로 54,618200,46773,,2,,128.924250361572,35.1040051685018
MA0101202406A0397535,노웨어짐,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26260,동래구,26260580,사직1동,2626010900,사직동,2626010900100710003,1,대지,71,3,부산광역시 동래구 사직동 71-3,262602006012,부산광역시 동래구 아시아드대로,175,,2626010900100710003008671,,부산광역시 동래구 아시아드대로 175,607817,47858,,5,,129.064473215008,35.2000144054306
MA0101202406A0018114,레아핏PT,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26350,해운대구,26350510,우1동,2635010500,우동,2635010500106440002,1,대지,644,2,부산광역시 해운대구 우동 644-2,263504199275,부산광역시 해운대구 해운대로570번길,23,,2635010500106440002000001,더세일링타워,부산광역시 해운대구 해운대로570번길 23,612821,48094,,1,,129.156651625403,35.1606403151188
MA0101202406A0384984,빅스짐,신호점,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26440,강서구,26440590,신호동,2644011700,신호동,2644011700102170001,1,대지,217,1,부산광역시 강서구 신호동 217-1,264403136057,부산광역시 강서구 신호산단2로,33,,2644011700102170001000001,골든뷰,부산광역시 강서구 신호산단2로 33,618290,46759,,,,128.877767281935,35.0859441899645
MA0101202406A0266060,헬스보이짐&WeWe필라테스&요가당리점,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,P85612,기타 스포츠 교육기관,26,부산광역시,26380,사하구,26380550,당리동,2638010200,당리동,2638010200103240004,1,대지,324,4,부산광역시 사하구 당리동 324-4,263802006002,부산광역시 사하구 낙동대로,381,,2638010200103240004040518,삼원당리프라자,부산광역시 사하구 낙동대로 381,604830,49411,,,,128.976192063253,35.1024573876999
MA0101202406A0051498,뉴로트레이닝센터,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26290,남구,26290530,대연3동,2629010600,대연동,2629010600100380014,1,대지,38,14,부산광역시 남구 대연동 38-14,262904193156,부산광역시 남구 수영로346번길,11,,2629010600100380014000092,,부산광역시 남구 수영로346번길 11,608804,48509,,4,,129.103846259956,35.1384005459972
MA0101202406A0196813,포바디짐,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26470,연제구,26470650,연산1동,2647010200,연산동,2647010200105810004,1,대지,581,4,부산광역시 연제구 연산동 581-4,264703006041,부산광역시 연제구 거제천로,258,,2647010200105810004009494,월드빌스포츠센터,부산광역시 연제구 거제천로 258,611821,47518,,7,,129.085260561192,35.1916107829157
MA0101202406A0422621,올라잇짐피트니스,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26320,북구,26320573,만덕3동,2632010300,만덕동,2632010300102310004,1,대지,231,4,부산광역시 북구 만덕동 231-4,263204196170,부산광역시 북구 만덕3로33번길,4,9,2632010300102310004011144,,부산광역시 북구 만덕3로33번길 4-9,616825,46562,,4,,129.028135077869,35.21199237811
MA0101202406A0088828,베베짐,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26710,기장군,26710259,일광읍,2671025921,일광읍,2671025921108090001,1,대지,809,1,부산광역시 기장군 일광읍 삼성리 809-1,267103352375,부산광역시 기장군 일광읍 해빛1로,74,,2671031021108090001000001,골드타워,부산광역시 기장군 일광읍 해빛1로 74,619912,46048,,6,,129.22280372319,35.2603248298837
