상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도,마트브랜드
MA0101202310A0010328,배스킨라빈스서면트레이더스,,I2,음식,I210,기타 간이,I21008,아이스크림/빙수,I56194,김밥 및 기타 간이 음식점업,26,부산광역시,26230,부산진구,26230640,부암1동,2623010800,부암동,2623010800100930000,1,대지,93,,부산광역시 부산진구 부암동 93,262303129030,부산광역시 부산진구 시민공원로,31,,2623010800101000001027533,이마트,부산광역시 부산진구 시민공원로 31,614836,47192,,2,,129.052553036284,35.1639003630112,이마트 트레이더스
MA0101202310A0001101,박승철헤어스투디오연제,이마트점,S2,수리·개인,S207,이용·미용,S20701,미용실,S96112,두발 미용업,26,부산광역시,26470,연제구,26470660,연산2동,2647010200,연산동,2647010200108220007,1,대지,822,7,부산광역시 연제구 연산동 822-7,264703129044,부산광역시 연제구 연수로,89,,2647010200108220007015826,신세계연제점,부산광역시 연제구 연수로 89,611840,47604,,3,,129.081309508809,35.1761518847322,이마트
MA0101202309A0009738,엑스오엑스오핫도그홈플러스,아시아드점,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,I56114,한식 해산물 요리 전문점,26,부산광역시,26470,연제구,26470620,거제2동,2647010100,거제동,2647010100112080000,1,대지,1208,,부산광역시 연제구 거제동 1208,264703130033,부산광역시 연제구 종합운동장로,7,,2647010100111980000009422,홈플러스아시아드점,부산광역시 연제구 종합운동장로 7,611807,47500,,2,,129.062012486264,35.1912700712054,홈플러스
MA0101202308A0051248,초대박복권판매점,,R1,예술·스포츠,R104,유원지·오락,R10410,복권 발행/판매업,R91241,복권 발행 및 판매업,26,부산광역시,26350,해운대구,26350520,우2동,2635010500,우동,2635010500114990000,1,대지,1499,,부산광역시 해운대구 우동 1499,263503133018,부산광역시 해운대구 센텀동로,6,,2635010500114490000023277,홈플러스센텀시티점,부산광역시 해운대구 센텀동로 6,612022,48059,,B1,,129.133689814354,35.1709146307276,홈플러스
MA0101202311A0061319,폴햄,,G2,소매,G209,섬유·의복·신발 소매,G20905,기타 의류 소매업,G47414,셔츠 및 블라우스 소매업,26,부산광역시,26350,해운대구,26350530,중1동,2635010600,중동,2635010600117670000,1,대지,1767,,부산광역시 해운대구 중동 1767,263503133039,부산광역시 해운대구 좌동순환로,511,,2635010600117670000019106,이마트,부산광역시 해운대구 좌동순환로 511,612851,48096,,,,129.167372481097,35.1660179546642,이마트
MA0101202311A0034683,클린보이,금정점,S2,수리·개인,S203,자동차 수리·세차,S20302,자동차 세차장,S95213,자동차 세차업,26,부산광역시,26410,금정구,26410680,구서1동,2641010700,구서동,2641010700103680000,1,대지,368,,부산광역시 금정구 구서동 368,264104205400,부산광역시 금정구 중앙대로1841번길,24,,2641010700103680000007216,이마트,부산광역시 금정구 중앙대로1841번길 24,609847,46233,,3,,129.090598612225,35.2499401418204,이마트
MA0101202311A0081611,채연시원텔반여점,,G2,소매,G208,가전·통신 소매,G20802,핸드폰 소매업,G47312,통신기기 소매업,26,부산광역시,26350,해운대구,26350570,반여1동,2635010300,반여동,2635010300114060001,1,대지,1406,1,부산광역시 해운대구 반여동 1406-1,263504199082,부산광역시 해운대구 선수촌로21번길,37,,2635010300114060001000001,홈플러스부산반여점,부산광역시 해운대구 선수촌로21번길 37,612815,48043,,,,129.115698499529,35.19658863746,홈플러스
MA0101202309A0048347,다솜의원,,Q1,보건의료,Q102,의원,Q10201,내과/소아과 의원,Q86201,일반의원,26,부산광역시,26470,연제구,26470620,거제2동,2647010100,거제동,2647010100112080000,1,대지,1208,,부산광역시 연제구 거제동 1208,264703130033,부산광역시 연제구 종합운동장로,7,,2647010100111980000009422,홈플러스아시아드점,부산광역시 연제구 종합운동장로 7,611807,47500,,1,,129.062012486264,35.1912700712054,홈플러스
MA0101202309A0025032,엘지화장품홈플러스서,부산점,G2,소매,G215,의약·화장품 소매,G21503,화장품 소매업,G47813,화장품; 비누 및 방향제 소매업,26,부산광역시,26530,사상구,26530620,괘법동,2653010400,괘법동,2653010400105290001,1,대지,529,1,부산광역시 사상구 괘법동 529-1,265303139003,부산광역시 사상구 광장로,7,,2653010400105290001008082,홈플러스서부산점,부산광역시 사상구 광장로 7,617725,46970,,1,,128.977721218153,35.1643345532276,홈플러스
MA0101202309A0085524,귀빈주얼리,,G2,소매,G217,시계·귀금속 소매,G21701,시계/귀금속 소매업,G47830,시계 및 귀금속 소매업,26,부산광역시,26470,연제구,26470620,거제2동,2647010100,거제동,2647010100112080000,1,대지,1208,,부산광역시 연제구 거제동 1208,264703130033,부산광역시 연제구 종합운동장로,7,,2647010100111980000009422,홈플러스아시아드점,부산광역시 연제구 종합운동장로 7,611807,47500,,2,,129.062012486264,35.1912700712054,홈플러스
